type,data-set,entityid,permission,role
RolePrivilege,0,default_data:1,abedit,adjuster
RolePrivilege,0,default_data:2,abview,adjuster
RolePrivilege,0,default_data:3,abviewsearch,adjuster
RolePrivilege,0,default_data:4,actcreate,adjuster
RolePrivilege,0,default_data:5,actcreateclsd,adjuster
RolePrivilege,0,default_data:6,actown,adjuster
RolePrivilege,0,default_data:7,actqueuenext,adjuster
RolePrivilege,0,default_data:8,actraown,adjuster
RolePrivilege,0,default_data:9,actraunown,adjuster
RolePrivilege,0,default_data:10,actview,adjuster
RolePrivilege,0,default_data:11,assocmanage,adjuster
RolePrivilege,0,default_data:12,assocview,adjuster
RolePrivilege,0,default_data:13,bulkinvcreate,adjuster
RolePrivilege,0,default_data:14,bulkinvdelete,adjuster
RolePrivilege,0,default_data:15,bulkinvedit,adjuster
RolePrivilege,0,default_data:16,bulkinvview,adjuster
RolePrivilege,0,default_data:17,checktransfer,adjuster
RolePrivilege,0,default_data:18,claimclose,adjuster
RolePrivilege,0,default_data:19,claimcreate,adjuster
RolePrivilege,0,default_data:20,claimedit,adjuster
RolePrivilege,0,default_data:21,claimintegadmin,adjuster
RolePrivilege,0,default_data:22,claimown,adjuster
RolePrivilege,0,default_data:23,claimprint,adjuster
RolePrivilege,0,default_data:24,claimprtsmanage,adjuster
RolePrivilege,0,default_data:25,claimraown,adjuster
RolePrivilege,0,default_data:26,claimraunown,adjuster
RolePrivilege,0,default_data:27,claimreopen,adjuster
RolePrivilege,0,default_data:28,claimselectplcy,adjuster
RolePrivilege,0,default_data:29,claimusermanage,adjuster
RolePrivilege,0,default_data:30,claimvalidate,adjuster
RolePrivilege,0,default_data:31,claimview,adjuster
RolePrivilege,0,default_data:32,claimviewpay,adjuster
RolePrivilege,0,default_data:33,claimviewrec,adjuster
RolePrivilege,0,default_data:34,claimviewrecres,adjuster
RolePrivilege,0,default_data:35,claimviewres,adjuster
RolePrivilege,0,default_data:36,ctccreate,adjuster
RolePrivilege,0,default_data:37,ctcedit,adjuster
RolePrivilege,0,default_data:38,ctcview,adjuster
RolePrivilege,0,default_data:39,doccreate,adjuster
RolePrivilege,0,default_data:40,doccreateclsd,adjuster
RolePrivilege,0,default_data:41,docedit,adjuster
RolePrivilege,0,default_data:42,docview,adjuster
RolePrivilege,0,default_data:43,editSensMCMdetails,adjuster
RolePrivilege,0,default_data:44,editsubrodetails,adjuster
RolePrivilege,0,default_data:45,evalcreate,adjuster
RolePrivilege,0,default_data:46,evaledit,adjuster
RolePrivilege,0,default_data:47,evalview,adjuster
RolePrivilege,0,default_data:48,expclose,adjuster
RolePrivilege,0,default_data:49,expcreate,adjuster
RolePrivilege,0,default_data:50,expedit,adjuster
RolePrivilege,0,default_data:51,expown,adjuster
RolePrivilege,0,default_data:52,expraown,adjuster
RolePrivilege,0,default_data:53,expraunown,adjuster
RolePrivilege,0,default_data:54,expreopen,adjuster
RolePrivilege,0,default_data:55,expvalidate,adjuster
RolePrivilege,0,default_data:56,expview,adjuster
RolePrivilege,0,default_data:57,lvprint,adjuster
RolePrivilege,0,default_data:58,manpaycreate,adjuster
RolePrivilege,0,default_data:59,manpaydelete,adjuster
RolePrivilege,0,default_data:60,manpayedit,adjuster
RolePrivilege,0,default_data:61,mttrclose,adjuster
RolePrivilege,0,default_data:62,mttrcreate,adjuster
RolePrivilege,0,default_data:63,mttredit,adjuster
RolePrivilege,0,default_data:64,mttrown,adjuster
RolePrivilege,0,default_data:65,mttrraown,adjuster
RolePrivilege,0,default_data:66,mttrraunown,adjuster
RolePrivilege,0,default_data:67,mttrreopen,adjuster
RolePrivilege,0,default_data:68,mttrview,adjuster
RolePrivilege,0,default_data:69,ngtncreate,adjuster
RolePrivilege,0,default_data:70,ngtnedit,adjuster
RolePrivilege,0,default_data:71,ngtnview,adjuster
RolePrivilege,0,default_data:72,notecreate,adjuster
RolePrivilege,0,default_data:73,notecreateclsd,adjuster
RolePrivilege,0,default_data:74,noteedit,adjuster
RolePrivilege,0,default_data:75,noteview,adjuster
RolePrivilege,0,default_data:76,noteviewconf,adjuster
RolePrivilege,0,default_data:77,paycreate,adjuster
RolePrivilege,0,default_data:78,paydelete,adjuster
RolePrivilege,0,default_data:79,payedit,adjuster
RolePrivilege,0,default_data:80,payrecode,adjuster
RolePrivilege,0,default_data:81,paystop,adjuster
RolePrivilege,0,default_data:82,payvoid,adjuster
RolePrivilege,0,default_data:83,plcyedit,adjuster
RolePrivilege,0,default_data:84,plcymakeeditable,adjuster
RolePrivilege,0,default_data:85,plcyview,adjuster
RolePrivilege,0,default_data:86,reccreate,adjuster
RolePrivilege,0,default_data:87,recdelete,adjuster
RolePrivilege,0,default_data:88,recedit,adjuster
RolePrivilege,0,default_data:89,recrescreate,adjuster
RolePrivilege,0,default_data:90,recresdelete,adjuster
RolePrivilege,0,default_data:91,recresedit,adjuster
RolePrivilege,0,default_data:92,recvoid,adjuster
RolePrivilege,0,default_data:93,rescreate,adjuster
RolePrivilege,0,default_data:94,resdelete,adjuster
RolePrivilege,0,default_data:95,resedit,adjuster
RolePrivilege,0,default_data:96,reviewcreate,adjuster
RolePrivilege,0,default_data:97,reviewdeleteincomplete,adjuster
RolePrivilege,0,default_data:98,reviewedit,adjuster
RolePrivilege,0,default_data:99,reviewviewdetail,adjuster
RolePrivilege,0,default_data:100,reviewviewlist,adjuster
RolePrivilege,0,default_data:101,sendemail,adjuster
RolePrivilege,0,default_data:102,usereditlang,adjuster
RolePrivilege,0,default_data:103,userviewall,adjuster
RolePrivilege,0,default_data:104,viewactcal,adjuster
RolePrivilege,0,default_data:105,viewassociations,adjuster
RolePrivilege,0,default_data:106,viewclaimbasics,adjuster
RolePrivilege,0,default_data:107,viewclaimevals,adjuster
RolePrivilege,0,default_data:108,viewclaimhistory,adjuster
RolePrivilege,0,default_data:109,viewclaimngtns,adjuster
RolePrivilege,0,default_data:110,viewclaimnotes,adjuster
RolePrivilege,0,default_data:111,viewclaimparties,adjuster
RolePrivilege,0,default_data:112,viewclaimsummary,adjuster
RolePrivilege,0,default_data:113,viewclaimsync,adjuster
RolePrivilege,0,default_data:114,viewdesktop,adjuster
RolePrivilege,0,default_data:115,viewdocs,adjuster
RolePrivilege,0,default_data:116,viewexposures,adjuster
RolePrivilege,0,default_data:117,viewfinsum,adjuster
RolePrivilege,0,default_data:118,viewmatters,adjuster
RolePrivilege,0,default_data:119,viewmednote,adjuster
