Roles,
type,data-set,entityid,description,name,carrierinternalrole
Role,0,adjuster,Base permissions for an adjuster,Adjuster,true
Role,0,claims_supervisor,Base permissions for a claims supervisor,Claims Supervisor,true
Role,0,manager,Base permissions for a manager,Manager,true
Role,0,clerical,Base permissions for a clerical user,Clerical,true
Role,0,customer_service_rep,Limited view for a customer service representative,Customer Service Representative,true
Role,0,viewer,User with view-only permissions,Viewer,true
Role,0,user_admin,Permissions for user admin,User Admin,true
Role,0,rule_admin,Permissions for rule admin,Rule Admin,true
Role,0,superuser,Superuser with full permissions,Superuser,true
Role,0,catastrophe_admin,Permissions for managing catastrophes,Catastrophe Admin,true
Role,0,pref_vendor_admin,Permissions for managing preferred vendors,Preferred Vendor Admin,true
Role,0,sensitive_claims,Permissions for managing sensitive claims,Trusted for Sensitive Claims,true
Role,0,integration_admin,Permissions for integration admin,Integration Admin,true
Role,0,newloss_supervisor,Base permissions for a claims supervisor,New Loss Processing Supervisor,true
Role,0,reporting_admin,Permissions for reporting admin,Reporting Admin,true
Role,0,reinsurance_manager,Base permissions for a reinsurance manager,Reinsurance Manager,true
Role,0,toolview,Permissions for viewing tools page,Tools View,true
Role,0,underwriter,Base permissions for an underwriter,Underwriter,true
