type,data-set,entityid,bodysystem,code,codedesc,chronic,expirydate,availabilitydate
ICDCode,0,icd:1,1,001.0,CHOLERA D/T VIB CHOLERAE,,,
ICDCode,0,icd:2,1,001.1,CHOLERA D/T VIB EL TOR,,,
ICDCode,0,icd:3,1,001.9,CHOLERA NOS,,,
ICDCode,0,icd:4,1,002.0,TYPHOID FEVER,,,
ICDCode,0,icd:5,1,002.1,PARATYPHOID FEVER A,,,
ICDCode,0,icd:6,1,002.2,PARATYPHOID FEVER B,,,
ICDCode,0,icd:7,1,002.3,PARATYPHOID FEVER C,,,
ICDCode,0,icd:8,1,002.9,PARATYPHOID FEVER NOS,,,
ICDCode,0,icd:9,1,003.0,SALMONELLA ENTERITIS,,,
ICDCode,0,icd:10,1,003.1,SALMONELLA SEPTICEMIA,,,
ICDCode,0,icd:11,1,003.20,LOCAL SALMONELLA INF NOS,,,
ICDCode,0,icd:12,1,003.21,SALMONELLA MENINGITIS,,,
ICDCode,0,icd:13,1,003.22,SALMONELLA PNEUMONIA,,,
ICDCode,0,icd:14,1,003.23,SALMONELLA ARTHRITIS,,,
ICDCode,0,icd:15,1,003.24,SALMONELLA OSTEOMYELITIS,,,
ICDCode,0,icd:16,1,003.29,LOCAL SALMONELLA INF NEC,,,
ICDCode,0,icd:17,1,003.8,SALMONELLA INFECTION NEC,,,
ICDCode,0,icd:18,1,003.9,SALMONELLA INFECTION NOS,,,
ICDCode,0,icd:19,1,004.0,SHIGELLA DYSENTERIAE,,,
ICDCode,0,icd:20,1,004.1,SHIGELLA FLEXNERI,,,
ICDCode,0,icd:21,1,004.2,SHIGELLA BOYDII,,,
ICDCode,0,icd:22,1,004.3,SHIGELLA SONNEI,,,
ICDCode,0,icd:23,1,004.8,SHIGELLA INFECTION NEC,,,
ICDCode,0,icd:24,1,004.9,SHIGELLOSIS NOS,,,
ICDCode,0,icd:25,1,005.0,STAPH FOOD POISONING,,,
ICDCode,0,icd:26,1,005.1,BOTULISM FOOD POISONING,,,
ICDCode,0,icd:27,1,005.2,FOOD POIS D/T C. PERFRIN,,,
