type,data-set,entityid,bodysystem,code,codedesc,chronic,expirydate,availabilitydate,icdversionext
ICDCode,0,icd:1,1,0010,Cholera due to vibrio cholerae,,,,9
ICDCode,0,icd:2,1,0011,Cholera due to vibrio cholerae el tor,,,,9
ICDCode,0,icd:3,1,0019,"Cholera, unspecified",,,,9
ICDCode,0,icd:4,1,0020,Typhoid fever,,,,9
ICDCode,0,icd:5,1,0021,Paratyphoid fever A,,,,9
ICDCode,0,icd:6,1,0022,Paratyphoid fever B,,,,9
ICDCode,0,icd:7,1,0023,Paratyphoid fever C,,,,9
ICDCode,0,icd:8,1,0029,"Paratyphoid fever, unspecified",,,,9
ICDCode,0,icd:9,1,0030,Salmonella gastroenteritis,,,,9
ICDCode,0,icd:10,1,0031,Salmonella septicemia,,,,9
ICDCode,0,icd:11,1,00320,"Localized salmonella infection, unspecified",,,,9
ICDCode,0,icd:12,1,00321,Salmonella meningitis,,,,9
ICDCode,0,icd:13,1,00322,Salmonella pneumonia,,,,9
ICDCode,0,icd:14,1,00323,Salmonella arthritis,,,,9
ICDCode,0,icd:15,1,00324,Salmonella osteomyelitis,,,,9
ICDCode,0,icd:16,1,00329,Other localized salmonella infections,,,,9
ICDCode,0,icd:17,1,0038,Other specified salmonella infections,,,,9
ICDCode,0,icd:18,1,0039,"Salmonella infection, unspecified",,,,9
ICDCode,0,icd:19,1,0040,Shigella dysenteriae,,,,9
ICDCode,0,icd:20,1,0041,Shigella flexneri,,,,9
ICDCode,0,icd:21,1,0042,Shigella boydii,,,,9
ICDCode,0,icd:22,1,0043,Shigella sonnei,,,,9
ICDCode,0,icd:23,1,0048,Other specified shigella infections,,,,9
ICDCode,0,icd:24,1,0049,"Shigellosis, unspecified",,,,9
ICDCode,0,icd:25,1,0050,Staphylococcal food poisoning,,,,9
ICDCode,0,icd:26,1,0051,Botulism food poisoning,,,,9
ICDCode,0,icd:27,1,0052,Food poisoning due to Clostridium perfringens (C. welchii),,,,9
ICDCode,0,icd:28,1,0053,Food poisoning due to other Clostridia,,,,9
ICDCode,0,icd:29,1,0054,Food poisoning due to Vibrio parahaemolyticus,,,,9
ICDCode,0,icd:30,1,00581,Food poisoning due to Vibrio vulnificus,,,,9
ICDCode,0,icd:31,1,00589,Other bacterial food poisoning,,,,9
ICDCode,0,icd:32,1,0059,"Food poisoning, unspecified",,,,9
ICDCode,0,icd:33,1,0060,Acute amebic dysentery without mention of abscess,,,,9
ICDCode,0,icd:34,1,0061,Chronic intestinal amebiasis without mention of abscess,,,,9
ICDCode,0,icd:35,1,0062,Amebic nondysenteric colitis,,,,9
ICDCode,0,icd:36,1,0063,Amebic liver abscess,,,,9
ICDCode,0,icd:37,1,0064,Amebic lung abscess,,,,9
ICDCode,0,icd:38,1,0065,Amebic brain abscess,,,,9
ICDCode,0,icd:39,1,0066,Amebic skin ulceration,,,,9
ICDCode,0,icd:40,1,0068,Amebic infection of other sites,,,,9
ICDCode,0,icd:41,1,0069,"Amebiasis, unspecified",,,,9
ICDCode,0,icd:42,1,0070,Balantidiasis,,,,9
ICDCode,0,icd:43,1,0071,Giardiasis,,,,9
ICDCode,0,icd:44,1,0072,Coccidiosis,,,,9
ICDCode,0,icd:45,1,0073,Intestinal trichomoniasis,,,,9
ICDCode,0,icd:46,1,0074,Cryptosporidiosis,,,,9
ICDCode,0,icd:47,1,0075,Cyclosporiasis,,,,9
ICDCode,0,icd:48,1,0078,Other specified protozoal intestinal diseases,,,,9
ICDCode,0,icd:49,1,0079,Unspecified protozoal intestinal disease,,,,9
ICDCode,0,icd:50,1,00800,"Intestinal infection due to E. coli, unspecified",,,,9
ICDCode,0,icd:51,1,00801,Intestinal infection due to enteropathogenic E. coli,,,,9
ICDCode,0,icd:52,1,00802,Intestinal infection due to enterotoxigenic E. coli,,,,9
ICDCode,0,icd:53,1,00803,Intestinal infection due to enteroinvasive E. coli,,,,9
ICDCode,0,icd:54,1,00804,Intestinal infection due to enterohemorrhagic E. coli,,,,9
ICDCode,0,icd:55,1,00809,Intestinal infection due to other intestinal E. coli infections,,,,9
ICDCode,0,icd:56,1,0081,Intestinal infection due to arizona group of paracolon bacilli,,,,9
ICDCode,0,icd:57,1,0082,Intestinal infection due to aerobacter aerogenes,,,,9
ICDCode,0,icd:58,1,0083,Intestinal infection due to proteus (mirabilis) (morganii),,,,9
ICDCode,0,icd:59,1,00841,Intestinal infection due to staphylococcus,,,,9
ICDCode,0,icd:60,1,00842,Intestinal infection due to pseudomonas,,,,9
ICDCode,0,icd:61,1,00843,Intestinal infection due to campylobacter,,,,9
ICDCode,0,icd:62,1,00844,Intestinal infection due to yersinia enterocolitica,,,,9
ICDCode,0,icd:63,1,00845,Intestinal infection due to Clostridium difficile,,,,9
ICDCode,0,icd:64,1,00846,Intestinal infection due to other anaerobes,,,,9
ICDCode,0,icd:65,1,00847,Intestinal infection due to other gram-negative bacteria,,,,9
ICDCode,0,icd:66,1,00849,Intestinal infection due to other organisms,,,,9
ICDCode,0,icd:67,1,0085,"Bacterial enteritis, unspecified",,,,9
ICDCode,0,icd:68,1,00861,Enteritis due to rotavirus,,,,9
ICDCode,0,icd:69,1,00862,Enteritis due to adenovirus,,,,9
ICDCode,0,icd:70,1,00863,Enteritis due to norwalk virus,,,,9
ICDCode,0,icd:71,1,00864,Enteritis due to other small round viruses [SRV's],,,,9
ICDCode,0,icd:72,1,00865,Enteritis due to calicivirus,,,,9
ICDCode,0,icd:73,1,00866,Enteritis due to astrovirus,,,,9
ICDCode,0,icd:74,1,00867,Enteritis due to enterovirus nec,,,,9
ICDCode,0,icd:75,1,00869,Enteritis due to other viral enteritis,,,,9
ICDCode,0,icd:76,1,0088,"Intestinal infection due to other organism, not elsewhere classified",,,,9
ICDCode,0,icd:77,1,0090,"Infectious colitis, enteritis, and gastroenteritis",,,,9
ICDCode,0,icd:78,1,0091,"Colitis, enteritis, and gastroenteritis of presumed infectious origin",,,,9
ICDCode,0,icd:79,1,0092,Infectious diarrhea,,,,9
ICDCode,0,icd:80,1,0093,Diarrhea of presumed infectious origin,,,,9
ICDCode,0,icd:81,1,01000,"Primary tuberculous infection, unspecified",,,,9
ICDCode,0,icd:82,1,01001,"Primary tuberculous infection, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:83,1,01002,"Primary tuberculous infection, bacteriological or histological examination unknown (at present)",,,,9
ICDCode,0,icd:84,1,01003,"Primary tuberculous infection, tubercle bacilli found (in sputum) by microscopy",,,,9
ICDCode,0,icd:85,1,01004,"Primary tuberculous infection, tubercle bacilli not found (in sputum) by microscopy, but found by bacterial culture",,,,9
ICDCode,0,icd:86,1,01005,"Primary tuberculous infection, tubercle bacilli not found by bacteriological examination, but tuberculosis confirmed histologically",,,,9
ICDCode,0,icd:87,1,01006,"Primary tuberculous infection, tubercle bacilli not found by bacteriological or histological examination, but tuberculosis confirmed by other methods [inoculation of animals]",,,,9
ICDCode,0,icd:88,1,01010,"Tuberculous pleurisy in primary progressive tuberculosis, unspecified",,,,9
ICDCode,0,icd:89,1,01011,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination not done",,,,9
ICDCode,0,icd:90,1,01012,"Tuberculous pleurisy in primary progressive tuberculosis, bacteriological or histological examination unknown (at present)",,,,9
